dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
drebin,opcode,SVM,0,0.9324,0.9498,0.9410,0.9489,0.9312,0.9399
drebin,opcode,DT,1,,,,,,
drebin,opcode,RF,1,0.9389,0.8786,0.9078,0.8860,0.9428,0.9135
drebin,opcode,SVM,1,0.9284,0.9533,0.9407,0.9520,0.9265,0.9391
drebin,opcode,DT,2,,,,,,
drebin,opcode,RF,2,0.9390,0.8798,0.9084,0.8869,0.9428,0.9140
drebin,opcode,SVM,2,0.9333,0.9475,0.9404,0.9467,0.9323,0.9394
drebin,opcode,DT,3,,,,,,
drebin,opcode,RF,3,0.9426,0.8821,0.9114,0.8893,0.9463,0.9169
drebin,opcode,SVM,3,0.9255,0.9417,0.9335,0.9406,0.9242,0.9323
drebin,opcode,DT,4,,,,,,
drebin,opcode,RF,4,0.9373,0.8716,0.9033,0.8800,0.9417,0.9098
drebin,opcode,SVM,4,0.9376,0.9463,0.9419,0.9458,0.9370,0.9414
drebin,opcode,DT,5,,,,,,
drebin,opcode,RF,5,0.9404,0.8646,0.9009,0.8747,0.9452,0.9086
drebin,opcode,SVM,5,0.9217,0.9347,0.9282,0.9337,0.9207,0.9271
drebin,opcode,DT,6,,,,,,
drebin,opcode,RF,6,0.9488,0.8646,0.9048,0.8757,0.9533,0.9128
drebin,opcode,SVM,6,0.9320,0.9592,0.9454,0.9579,0.9300,0.9438
drebin,opcode,DT,70y,,,,,,
drebin,opcode,RF,70y,0.9287,0.8973,0.9128,0.9007,0.9312,0.9157
drebin,opcode,SVM,70y,0.9137,0.9638,0.9381,0.9617,0.9090,0.9346
drebin,opcode,DT,7,,,,,,
drebin,opcode,RF,7,0.9436,0.8588,0.8992,0.8704,0.9487,0.9079
drebin,opcode,SVM,7,0.9209,0.9370,0.9289,0.9359,0.9195,0.9276
drebin,opcode,DT,8,,,,,,
drebin,opcode,RF,8,0.9520,0.8565,0.9017,0.8696,0.9568,0.9111
drebin,opcode,SVM,8,0.9287,0.9417,0.9351,0.9408,0.9277,0.9342
drebin,opcode,DT,9,,,,,,
drebin,opcode,RF,9,0.9462,0.8611,0.9016,0.8726,0.9510,0.9101
drebin,opcode,SVM,9,0.9319,0.9428,0.9374,0.9421,0.9312,0.9366
rmv,api,DT,0,0.9486,0.9248,0.9365,0.9266,0.9498,0.9381
rmv,api,RF,0,0.9774,0.8728,0.9221,0.8851,0.9798,0.9300
rmv,api,SVM,0,0.9595,0.9847,0.9719,0.9843,0.9584,0.9712
rmv,api,DT,1,0.9411,0.9284,0.9347,0.9294,0.9419,0.9356
